Name,Item,Date
CsengeBB,Creator -> Architect Creative,8/3/22
iDriixx,5x God Crate Key Prison,8/3/22
ItsBUCi,Money Booster (x2 extra money) Prison,8/3/22
Strbacki,Crystal 30 Days Minigames,8/3/22
TavaMammaTeica,Premium Immortal,8/3/22
wiiboxingg,Iron Minigames,8/3/22
ActCool,"2,500 Gold | Stack of Gold",8/4/22
AmirSan123,GKit Treasure Dream,8/4/22
baszogep12,500 Gold | Handful of Gold,8/4/22
bde6,"2,500 Gold | Stack of Gold",8/4/22
BiscuitStormy,GKit Boosters KitPvP,8/4/22
BiscuitStormy,Immortal KitPvP,8/4/22
Canada__Goose,500 Gold | Handful of Gold,8/4/22
Haakonar,"1,200 Gold | Pile of Gold",8/4/22
MemeGod42069,1x Reaper Crate Key KitPvP,8/4/22
MemeGod42069,3x Reaper Crate Key KitPvP,8/4/22
Minigrowshall,"1,200 Gold | Pile of Gold",8/4/22
mlstyy,1x Reaper Crate Key KitPvP,8/4/22
rodagave115,Epic Loot Box Bundle Minigames,8/4/22
rodagave115,Epic Loot Box Bundle Minigames,8/4/22
Sethisurk05,Hero KitPvP,8/4/22
Sethisurk05,Hero -> Immortal KitPvP,8/4/22
TikoZ_,1x Reaper Crate Key KitPvP,8/4/22
Ty_Killeur,3x Reaper Crate Key KitPvP,8/4/22
bde6,"6,500 Gold | Large Stack of Gold",8/5/22
BiscuitStormy,1x Reaper Crate Key KitPvP,8/5/22
BiscuitStormy,"2,500 Gold | Stack of Gold",8/5/22
BiscuitStormy,"1,200 Gold | Pile of Gold",8/5/22
CiRum,1x Reaper Crate Key KitPvP,8/5/22
CiRum,10x Reaper Crate Key (+2 BONUS) KitPvP,8/5/22
DaahV,Gladiator -> Hero KitPvP,8/5/22
DaahV,Hero -> Immortal KitPvP,8/5/22
Deathscare101,80 Gold | Bit of Gold,8/5/22
Deathscare101,"1,200 Gold | Pile of Gold",8/5/22
iDivine,500 Gold | Handful of Gold,8/5/22
LAKIiiiii,"1,200 Gold | Pile of Gold",8/5/22
MemeGod42069,1x Reaper Crate Key KitPvP,8/5/22
MemeGod42069,3x Reaper Crate Key KitPvP,8/5/22
Moski123,80 Gold | Bit of Gold,8/5/22
nobtc,GKit Potions KitPvP,8/5/22
SkyPrestige,500 Gold | Handful of Gold,8/5/22
Snuubz,"2,500 Gold | Stack of Gold",8/5/22
Ultimate123,"1,200 Gold | Pile of Gold",8/5/22
_timon_1991,King Survival,8/6/22
bene_e,x2 Global Booster Minigames,8/6/22
Boomette97,"4,250 Gold | Stack of Gold",8/6/22
CR7811149,Iron -> Gold Minigames,8/6/22
danknor_,3x God Crate Key Dream,8/6/22
danknor_,1x Viking Crate Key Dream,8/6/22
DemarcusCousins,"2,500 Gold | Stack of Gold",8/6/22
DrowsyAmoeba173,SkyChamp -> SkyLord Dream,8/6/22
Firesoccer,Custom Gift Card,8/6/22
flanxy,Crystal 30 Days Minigames,8/6/22
grube1,"2,500 Gold | Stack of Gold",8/6/22
Guremori,"2,500 Gold | Stack of Gold",8/6/22
Homiiz,"1,200 Gold | Pile of Gold",8/6/22
Infqrm,Hero Practice,8/6/22
LOGO_MOJO_MAN,"2,500 Gold | Stack of Gold",8/6/22
Myruto,"6,500 Gold | Large Stack of Gold",8/6/22
RH_Martins,Iron Minigames,8/6/22
SavaqeAlpha,500 Gold | Handful of Gold,8/6/22
SkyPrestige,500 Gold | Handful of Gold,8/6/22
StopBe,"2,500 Gold | Stack of Gold",8/6/22
Stxrs,Gold Minigames,8/6/22
Technostein,SkyDonor -> SkyVIP Dream,8/6/22
Technostein,GKit Crate Keys Dream,8/6/22
BaconSmeller,"6,500 Gold | Large Stack of Gold",8/7/22
bde6,"14,000 Gold | Chest of Gold",8/7/22
Boomette97,"1,200 Gold | Pile of Gold",8/7/22
ExhaustRFM,"2,500 Gold | Stack of Gold",8/7/22
HeartToKill,Iron Minigames,8/7/22
ItzWeissy,1x Reaper Crate Key KitPvP,8/7/22
lahartgerink,Hero KitPvP,8/7/22
Myruto,"9,500 Gold | Large Stack of Gold",8/7/22
Myruto,"2,500 Gold | Stack of Gold",8/7/22
Myruto,"6,500 Gold | Large Stack of Gold",8/7/22
OnMyWay_G,Champion Immortal,8/7/22
OnMyWay_G,Champion -> Spartan Immortal,8/7/22
OnMyWay_G,Lunatic Prison,8/7/22
pincerprithu,"6,500 Gold | Large Stack of Gold",8/7/22
Poon352,"4,250 Gold | Stack of Gold",8/7/22
quackergod,x2 Global Booster Minigames,8/7/22
Recherch,"1,200 Gold | Pile of Gold",8/7/22
remixcallannew,Thug Prison,8/7/22
sammyxt,Mythic -> Zeus Practice,8/7/22
Sethisurk05,GKit Crate Keys KitPvP,8/7/22
Sethisurk05,"2,500 Gold | Stack of Gold",8/7/22
Sethisurk05,"4,250 Gold | Stack of Gold",8/7/22
SkyPrestige,"1,200 Gold | Pile of Gold",8/7/22
StopBe,"2,500 Gold | Stack of Gold",8/7/22
StopBe,"1,200 Gold | Pile of Gold",8/7/22
Syntaxe,"2,500 Gold | Stack of Gold",8/7/22
WateryOtter,SkyLord -> SkyGod Dream,8/7/22
